z,aij_0,aij_1,aij_2,aij_3,aij_4,aij_5
4.0175681,0.27081468,-0.0034303186,-0.032891423,-0.18680701,-0.0064330619,-0.084124948
4.0218096,0.27148059,-0.0022577957,-0.033854933,-0.18749245,-0.0068546754,-0.084104789
4.026549,0.27228095,-0.00094772684,-0.035071023,-0.18827817,-0.0072574799,-0.084099203
4.0318447,0.27320631,0.00049466497,-0.03646886,-0.18914191,-0.0076768502,-0.08415931
4.0377622,0.27417779,0.0021205792,-0.038036205,-0.1900325,-0.0081409791,-0.08428816
4.0443742,0.27507918,0.0039979411,-0.039810326,-0.19088117,-0.0086325627,-0.084353579
4.0517625,0.27578726,0.006157438,-0.041836508,-0.19165816,-0.0091252333,-0.084312637
4.060018,0.27619252,0.008549981,-0.044078364,-0.19227512,-0.0095753875,-0.083947205
4.0692427,0.27612375,0.011067589,-0.04665899,-0.19257725,-0.0098821449,-0.083285923
4.0795503,0.2753755,0.013369537,-0.050143605,-0.19251061,-0.0099110121,-0.082863635
4.0910678,0.27398017,0.015078709,-0.054308396,-0.19206472,-0.0096472527,-0.082093439
4.1039375,0.27150214,0.016149697,-0.058389956,-0.19107406,-0.0094141262,-0.080400175
4.1183179,0.26722053,0.016688099,-0.062524907,-0.18945162,-0.0092213574,-0.077748379
4.1343864,0.26123948,0.016160604,-0.067222521,-0.18772812,-0.0084591331,-0.073490235
4.1523411,0.25437415,0.013689709,-0.073524313,-0.18713249,-0.0066481092,-0.06720872
4.1724037,0.24730416,0.0091117548,-0.082362623,-0.18863169,-0.0039096889,-0.058685331
4.1948213,0.24007961,0.0029683916,-0.092921361,-0.19217759,-0.0015031198,-0.047889528
4.2198705,0.2319499,-0.0022184,-0.10287267,-0.19634214,-0.0013507159,-0.03560338
4.2478603,0.21723891,-0.0033552198,-0.11008783,-0.19661444,-0.0043216071,-0.020734973
4.2791358,0.18941051,-0.00061466098,-0.11508815,-0.18942846,-0.0085944799,-2.2383262e-05
4.3140828,0.15421273,0.0034234233,-0.11925444,-0.17962756,-0.011704364,0.025462608
4.3531322,0.10950105,0.0025076484,-0.11807454,-0.16732827,-0.0096415536,0.057855871
4.3967656,0.040249245,-0.0030339459,-0.10650716,-0.1441296,-0.0034655738,0.1038159
4.4455211,-0.0034988111,-0.0042303985,-0.10163866,-0.1290415,0.00057240696,0.13238235
4.5,0.0076697228,-0.0039160473,-0.11413777,-0.12652302,0.004864092,0.11905471
4.5460365,0.034914496,-0.0050941382,-0.12020289,-0.12642756,0.0039757262,0.091715725
4.5981935,0.051057635,-0.0037356698,-0.11297973,-0.12957093,-0.0021571857,0.078316995
4.6572845,0.07539885,-0.0040035831,-0.11416074,-0.13966427,-0.0017338676,0.064144598
4.7242315,0.10925651,-0.0017484983,-0.12935882,-0.16745805,0.00082275088,0.058283424
4.800079,0.099916627,-0.0023623519,-0.17517192,-0.22800541,0.00078153231,0.12799048
4.8860101,0.084828319,-0.0076758878,-0.25031776,-0.30029266,-0.0007570734,0.21526856
4.9833655,0.11646001,-0.00881593,-0.2962177,-0.33840691,-0.0014477789,0.22191902
